Government_Office_Region_Name,ave_sal
East Midlands,37141.22634605332
East of England,37092.7315045719
London,41789.23968253968
North East,37858.35207373272
North West,37728.98047004303
South East,36634.76212686567
South West,36924.25978161966
West Midlands,37269.34687636523
Yorkshire and The Humber,36944.59333333333
