LAEstab,Easting,Northing,School_Type,School_Phase,Religious_Character,Government_Office_Region_Name,Parliamentary_Constituency,LA_District,Ward,StatutoryLowAge.y,StatutoryHighAge.y,Tot_Workforce_HC,Tot_Classroom_Teachers_HC,Tot_Teachers_Leadership_HC,Tot_Teachers_HC,Tot_TAs_HC,Tot_NonClassroom_Support_Staff_Exc_Aux_Staff_HC,Tot_Auxiliary_Staff_HC,Perc_PT_Teaching_Staff_,Tot_Workforce_FTE,Tot_Classroom_Teachers_FTE,Tot_Teachers_Leadership_FTE,Tot_Teachers_FTE,Tot_TAs_FTE,Tot_NonClassroom_Support_Staff_Exc_Aux_Staff_FTE,Tot_Aux_Staff_FTE,TA_Teacher_Ratio,Pupil_Teacher_Ratio,Perc_Male_Teachers,Perc_Minority_Ethnic_Teachers,Perc_Over_Age_50_Teachers,Perc_QTS_Teachers,Perc_of_Unqual_Teachers_who_Unqual_on_QTS_Route,Perc_Male_TAs,Perc_Minority_Ethnic_TAs,Perc_HLTA_TAs,Perc_Male_Non_Classroom_Support_Staff,Perc_Minority_Ethnic_Non_Classroom_Support_Staff,Perc_Male_Aux_Staff,Perc_Minority_Ethnic_Aux_Staff,Regional_Pay_Spine,Mean_Gross_Salary_All_Teachers_Sterling,Perc_Main_Pay_Range_Classroom_Teachers,Perc_Upper_Pay_Range_Leading_Practioners_Pay_Range_Classroom_Teachers,Perc_Receive_Allowance_Qual_Classroom_Teachers,Perc_Leadership_Pay_Range_Teachers,Perc_At_Least_One_Sickness_Absence_Teachers,Tot_Days_Sickness_Absence,Mean_Days_Lost_Teacher_Sickness_Absence_Of_Those_Taking_Sickness_Absence,Mean_Days_Lost_Teacher_Sickness_Absence_All_Teachers,FT_Vacant_Posts,Perc_FT_Posts_Vacant,FT_Temp_Filled_Posts,Perc_FT_Temp_Filled_Posts
8652184,407463,182993,LA maintained schools,Primary,Does not apply,South West,North Wiltshire,Wiltshire,Royal Wootton Bassett North,4,11,56,12,2,14,21,3,18,NA,29.3,10.6,2,12.6,9.7,2.5,4.5,0.8,20.4,23.8,0,NA,92.1,NA,0,NA,NA,0,NA,NA,NA,EW,35170,0,0,33.3,NA,57.1,56.5,7.1,4,0,0,0,0
8652185,381709,132474,LA maintained schools,Primary,Does not apply,South West,South West Wiltshire,Wiltshire,Mere,4,11,40,10,2,12,8,5,15,41.7,20.8,6.4,2,8.4,5.9,1.6,4.9,0.7,23,NA,0,38.1,100,NA,0,0,0,0,0,NA,0,EW,38087,60,NA,NA,NA,45.5,28,5.6,2.5,0,0,0,0
8652190,411894,131428,LA maintained schools,Primary,Does not apply,South West,Salisbury,Wiltshire,Salisbury Bemerton,2,11,34,7,4,11,16,5,2,NA,21.3,5.7,4,9.7,8.6,2.6,0.4,0.9,22.6,NA,0,31.5,89.7,NA,0,0,0,0,0,0,NA,EW,39044,0,0,NA,36.4,26.7,45.5,11.4,3,0,0,0,0
8652191,413341,130471,LA maintained schools,Primary,Does not apply,South West,Salisbury,Wiltshire,Salisbury St Paul's,5,11,58,10,2,12,19,5,22,NA,32.5,9.8,2,11.8,13.5,2.5,4.7,1.1,18.7,0,0,23.7,91.5,NA,NA,0,0,0,0,NA,0,EW,35239,0,0,40,NA,42.9,32,5.3,2.3,0,0,0,0
8652196,385570,156558,LA maintained schools,Primary,Does not apply,South West,South West Wiltshire,Wiltshire,Trowbridge Drynham,4,11,42,11,3,14,14,5,9,35.7,24.2,8.6,2.6,11.2,7.4,3.5,2.1,0.7,21.3,NA,NA,NA,85.4,NA,NA,NA,NA,0,0,NA,0,EW,36297,NA,0,NA,NA,84.2,111.5,7,5.9,0,0,0,0
8652198,390350,122739,LA maintained schools,Primary,Does not apply,South West,South West Wiltshire,Wiltshire,Tisbury,4,11,14,3,1,4,3,2,5,NA,7.2,2.8,1,3.8,1,1.6,0.8,0.3,21.3,0,0,NA,100,NA,0,NA,NA,0,NA,0,0,EW,36025,NA,NA,NA,NA,100,92.5,23.1,23.1,0,0,0,0
8652218,393065,172080,LA maintained schools,Primary,Does not apply,South West,Chippenham,Wiltshire,Chippenham Pewsham,4,11,71,18,3,21,26,7,17,47.8,37.2,14.1,3,17.1,13.7,3.1,3.3,0.8,21.6,16.9,0,25.9,100,NA,NA,0,0,0,0,0,0,EW,38578,33.3,66.7,27.8,NA,58.3,76.5,5.5,3.2,0,0,0,0
8652222,384506,157996,LA maintained schools,Primary,Does not apply,South West,South West Wiltshire,Wiltshire,Trowbridge Central,4,11,45,13,3,16,14,7,8,43.8,27.5,10,3,13,9.6,2.6,2.3,0.7,23.5,NA,NA,23.1,100,NA,0,0,0,0,0,NA,0,EW,34546,61.5,38.5,NA,NA,33.3,40.5,6.8,2.3,0,0,0,0
8652225,387683,151710,LA maintained schools,Primary,Does not apply,South West,South West Wiltshire,Wiltshire,Westbury East,4,11,56,21,2,23,19,4,10,65.2,25.6,10.1,2,12.1,8.9,2,2.6,0.7,24.3,24.8,0,30.2,83.5,NA,0,NA,0,0,0,NA,0,EW,35576,0,0,23.8,NA,62.5,54,5.4,3.4,0,0,0,0
8652226,392513,172561,LA maintained schools,Primary,Does not apply,South West,Chippenham,Wiltshire,Chippenham Hardens and England,4,11,62,12,3,15,28,7,12,33.3,26.6,9.2,3,12.2,10.4,2.5,1.5,0.9,16.7,19.7,0,23.8,100,NA,0,NA,NA,0,0,0,0,EW,36698,50,50,33.3,NA,93.8,34,2.3,2.1,0,0,0,0
8652227,385268,157552,LA maintained schools,Primary,Does not apply,South West,South West Wiltshire,Wiltshire,Trowbridge Central,4,11,45,11,3,14,15,3,13,NA,26.1,9.9,3,12.9,8.5,2,2.7,0.7,17.9,NA,0,NA,100,NA,NA,NA,0,0,NA,NA,NA,EW,34136,0,0,NA,NA,60,136,15.1,9.1,0,0,2,15.4
8653000,407127,161685,LA maintained schools,Primary,Church of England,South West,Devizes,Wiltshire,Urchfont and The Cannings,4,11,31,7,2,9,13,3,6,NA,13.6,5.8,2,7.8,2.9,1.8,1.1,0.4,19.6,NA,0,49,74.2,NA,NA,0,NA,0,NA,NA,0,EW,36276,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
8653002,404451,193999,LA maintained schools,Primary,Church of England,South West,North Wiltshire,Wiltshire,Minety,4,11,33,10,2,12,11,5,5,50,16.3,6.8,2,8.8,5.2,2,0.3,0.6,23.5,0,0,NA,77.3,NA,NA,NA,NA,0,NA,0,0,EW,38306,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
8653013,382591,168585,LA maintained schools,Primary,Church of England,South West,North Wiltshire,Wiltshire,Box and Colerne,4,11,29,11,2,13,7,3,6,53.8,14,6.7,2,8.7,3.1,1.4,0.8,0.4,20.3,NA,0,0,100,NA,0,NA,0,0,NA,0,NA,EW,36743,45.5,54.5,NA,NA,36.4,33.5,8.4,3,0,0,0,0
8653015,382684,161457,LA maintained schools,Primary,Church of England,South West,Chippenham,Wiltshire,Bradford-on-Avon North,4,11,81,26,3,29,26,6,20,67.6,40.1,16.2,3,19.2,12.6,3.4,4.9,0.7,22,15.5,0,26.2,100,NA,NA,0,0,NA,NA,NA,NA,EW,34821,57.7,42.3,0,NA,51.6,55,3.4,1.8,0,0,0,0
8653017,415580,128021,LA maintained schools,Primary,Church of England,South West,Salisbury,Wiltshire,Downton and Ebble Valley,4,11,13,5,1,6,3,4,0,66.7,6.5,3,1,4,1.3,1.2,0,0.3,16.8,NA,0,NA,85,NA,0,NA,NA,0,0,0,0,EW,32782,0,0,0,NA,NA,NA,NA,11,0,0,0,0
8653018,410316,176694,LA maintained schools,Primary,Church of England,South West,Devizes,Wiltshire,West Selkley,4,11,19,5,1,6,8,2,3,NA,9.8,4,1,5,3.3,1.1,0.4,0.7,20.1,0,0,NA,100,NA,0,0,NA,0,NA,0,NA,EW,34811,NA,NA,NA,NA,NA,NA,NA,0.7,0,0,0,0
8653019,408932,178305,LA maintained schools,Primary,Church of England,South West,North Wiltshire,Wiltshire,Royal Wootton Bassett East,4,11,17,4,1,5,5,2,5,NA,8.2,3,1,4,2.7,1,0.5,0.7,18.8,NA,NA,0,100,NA,0,0,0,0,NA,0,0,EW,38356,0,NA,NA,NA,NA,NA,NA,0.1,0,0,0,0
8653020,396441,165215,LA maintained schools,Primary,Church of England,South West,Devizes,Wiltshire,"Bromham, Rowde and Potterne",4,11,23,7,1,8,8,2,5,87.5,11.2,3.4,1,4.4,4.8,0.4,1.6,1.1,18.9,0,0,NA,100,NA,0,0,0,0,NA,0,0,EW,32370,0,0,0,NA,NA,NA,NA,0.1,0,0,0,0
8653035,403432,170076,LA maintained schools,Primary,Church of England,South West,North Wiltshire,Wiltshire,Calne South and Cherhill,4,11,28,10,2,12,8,2,6,50,15.3,7.2,2,9.2,4.1,1.1,0.9,0.5,22,0,0,NA,100,NA,0,0,0,0,NA,0,0,EW,36210,0,0,NA,NA,57.1,115,14.4,8.2,0,0,0,0
8653036,407296,157524,LA maintained schools,Primary,Church of England,South West,Devizes,Wiltshire,Pewsey Vale,4,11,18,4,1,5,6,2,5,NA,7.8,2.8,1,3.8,1.9,1.1,1,0.5,12.1,NA,0,NA,100,NA,0,0,NA,0,NA,0,0,EW,NA,NA,NA,0,NA,NA,NA,NA,1,0,0,0,0
8653040,381943,171418,LA maintained schools,Primary,Church of England,South West,North Wiltshire,Wiltshire,Box and Colerne,4,11,50,13,1,14,19,4,13,50,27.6,10.8,1,11.8,9.7,2.2,3.9,0.8,21.4,NA,0,NA,100,NA,NA,NA,0,0,0,NA,NA,EW,36472,38.5,61.5,NA,NA,50,19.5,2.4,1.2,0,0,0,0
8653045,409891,193608,LA maintained schools,Primary,Church of England,South West,North Wiltshire,Wiltshire,Cricklade and Latton,4,11,49,17,2,19,14,3,13,33.3,27.4,14.6,2,16.6,5.6,2.3,2.9,0.3,19,20.3,0,21.8,100,NA,NA,0,0,0,NA,NA,0,EW,35459,70.6,29.4,23.5,NA,57.9,46.5,4.2,2.4,0,0,0,0
8653047,385941,142596,LA maintained schools,Primary,Church of England,South West,South West Wiltshire,Wiltshire,Warminster Without,4,11,17,5,2,7,4,2,4,NA,9.9,3.5,2,5.5,2.6,1.2,0.6,0.5,18.5,0,0,NA,100,NA,0,0,0,0,NA,NA,0,EW,38040,0,NA,0,NA,NA,NA,NA,3.8,0,0,0,0
8653048,395497,192876,LA maintained schools,Primary,Church of England,South West,North Wiltshire,Wiltshire,Minety,4,11,24,7,2,9,7,2,6,50,11.7,4.5,2,6.5,3.6,1,0.6,0.6,19.6,NA,NA,33.4,89.1,NA,0,0,0,0,NA,NA,0,EW,34607,57.1,NA,0,NA,NA,NA,NA,0.3,0,0,0,0
8653049,424187,153954,LA maintained schools,Primary,Church of England,South West,Devizes,Wiltshire,The Collingbournes and Netheravon,4,11,19,5,1,6,6,3,4,0,11.5,5,1,6,3.3,1.5,0.7,0.6,17.6,NA,0,NA,100,NA,0,NA,0,0,NA,0,NA,EW,35195,80,NA,NA,NA,57.1,19,4.8,2.7,0,0,0,0
8653063,416119,144134,LA maintained schools,Primary,Church of England,South West,Devizes,Wiltshire,Durrington and Larkhill,7,11,36,11,2,13,15,3,5,53.8,16.6,6.3,2,8.3,5.4,1.9,1,0.6,21.2,NA,0,NA,100,NA,0,0,0,0,NA,0,0,EW,36835,45.5,54.5,NA,NA,58.3,35,5,2.9,0,0,0,0
8653086,399814,166340,LA maintained schools,Primary,Church of England,South West,North Wiltshire,Wiltshire,Calne Rural,5,11,15,4,1,5,5,1,4,NA,8.3,3,1,4,2.6,0.8,0.9,0.6,16.9,NA,0,0,100,NA,0,0,0,0,NA,0,0,EW,36120,0,0,NA,NA,66.7,19,4.8,3.2,0,0,0,0
8653088,387089,159505,LA maintained schools,Primary,Church of England,South West,Chippenham,Wiltshire,Hilperton,4,11,26,8,2,10,12,2,2,50,13.3,6.3,1.8,8.1,4.2,0.8,0.2,0.5,21.4,0,NA,NA,75.3,NA,0,0,0,0,NA,0,NA,EW,33288,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0
8653090,386607,162055,LA maintained schools,Primary,Church of England/United Reformed Church,South West,Chippenham,Wiltshire,Holt and Staverton,4,11,28,13,0,13,11,2,2,71.4,13.8,8.1,0,8.1,4.9,0.6,0.2,0.6,23.1,NA,0,28.6,91.7,NA,NA,NA,0,0,NA,0,NA,EW,34666,69.2,NA,0,0,NA,NA,NA,NA,0,0,0,0
8653091,389758,182422,LA maintained schools,Primary,Church of England,South West,North Wiltshire,Wiltshire,By Brook,2,11,22,7,2,9,6,5,2,NA,14.6,5.9,2,7.9,3.8,2.6,0.3,0.5,20.3,38,0,NA,100,NA,0,0,0,0,0,0,NA,EW,32241,71.4,NA,0,NA,44.4,28.5,7.1,3.2,0,0,0,0
8653096,390120,177638,LA maintained schools,Primary,Church of England,South West,North Wiltshire,Wiltshire,Kington,5,11,18,7,1,8,7,3,0,50,11.3,5.2,1,6.2,3.7,1.4,0,0.6,18.5,0,0,45.2,100,NA,0,0,0,0,NA,0,0,EW,37750,NA,57.1,NA,NA,NA,NA,NA,0.1,0,0,0,0
8653100,391570,168451,LA maintained schools,Primary,Church of England,South West,Chippenham,Wiltshire,Corsham Without and Box Hill,4,11,21,5,1,6,7,3,5,66.7,8.2,2.9,1,3.9,2.4,1.4,0.5,0.6,17.3,NA,0,NA,87.2,NA,0,0,0,0,NA,0,0,EW,35049,0,0,NA,NA,NA,NA,NA,5.2,0,0,0,0
8653102,392380,176848,LA maintained schools,Primary,Church of England,South West,North Wiltshire,Wiltshire,Kington,4,11,19,5,1,6,5,3,5,83.3,8.7,4,1,5,1.7,1.4,0.6,0.3,18.7,NA,NA,60.6,100,NA,0,NA,NA,0,NA,0,NA,EW,38789,NA,80,NA,NA,66.7,14,3.5,2.3,0,0,0,0
8653104,395965,186772,LA maintained schools,Primary,Church of England,South West,North Wiltshire,Wiltshire,Brinkworth,4,11,26,7,1,8,9,3,6,62.5,10.7,4.4,1,5.4,3.3,1,1,0.6,21.7,NA,0,NA,100,NA,0,0,0,0,NA,NA,0,EW,39067,NA,57.1,NA,NA,NA,NA,NA,0.1,0,0,0,0
8653134,421727,140294,LA maintained schools,Primary,Church of England,South West,Salisbury,Wiltshire,"Bulford, Allington and Figheldean",5,11,17,5,1,6,7,3,1,66.7,7.8,3.4,0.6,4,2.8,0.9,0.1,0.7,11.3,0,0,NA,100,NA,0,0,NA,NA,NA,0,NA,EW,40089,NA,NA,0,NA,NA,NA,NA,7.6,0,0,1,33.3
8653135,385517,154906,LA maintained schools,Primary,Church of England,South West,South West Wiltshire,Wiltshire,Southwick,4,11,55,17,2,19,14,4,18,69.6,20.2,8.2,1.9,10.1,5.3,1.6,3.2,0.5,20.3,0,0,NA,85.7,NA,0,NA,0,0,0,NA,0,EW,33968,NA,41.2,NA,NA,58.3,32.5,4.6,2.7,0,0,0,0
8653140,398778,193584,LA maintained schools,Primary,Church of England,South West,North Wiltshire,Wiltshire,Minety,4,11,19,6,2,8,4,2,5,62.5,8.4,3.8,1.3,5.1,2.1,0.8,0.4,0.4,17.1,NA,0,NA,100,NA,0,0,0,0,NA,NA,0,EW,37765,66.7,NA,NA,NA,50,7,1.8,0.9,0,0,0,0
8653149,417103,168478,LA maintained schools,Primary,Church of England,South West,Devizes,Wiltshire,Marlborough West,4,11,44,11,2,13,12,4,15,42.9,19.6,8.6,2,10.6,4.9,2.1,2,0.5,19.1,NA,NA,NA,100,NA,NA,0,NA,NA,0,NA,NA,EW,35680,0,0,NA,NA,NA,NA,NA,0.1,0,0,0,0
8653150,409198,187488,LA maintained schools,Primary,Church of England,South West,North Wiltshire,Wiltshire,Purton,4,11,61,19,2,21,19,4,17,33.3,33.2,16.2,2,18.2,9.4,2.7,2.9,0.5,18.6,NA,0,15.4,100,NA,0,NA,NA,0,0,0,NA,EW,35474,52.6,47.4,NA,NA,47.6,31,3.1,1.5,0,0,0,0
8653158,413680,128866,LA maintained schools,Primary,Church of England,South West,Salisbury,Wiltshire,Salisbury St Martin's and Cathedral,7,11,51,15,3,18,18,4,11,38.9,25.8,12.1,3,15.1,7,1.9,1.8,0.5,23.1,18.6,0,19.9,100,NA,0,0,0,0,0,0,0,EW,36287,0,NA,33.3,NA,NA,NA,NA,0.2,0,0,0,0
8653161,431570,163511,LA maintained schools,Primary,Church of England,South West,Devizes,Wiltshire,Burbage and the Bedwyns,4,11,14,3,1,4,8,1,1,NA,7,2.6,1,3.6,2.6,0.7,0.1,0.7,14.7,0,0,NA,100,NA,0,0,0,0,NA,0,NA,EW,39204,NA,NA,NA,NA,NA,NA,NA,0.3,0,0,0,0
8653163,385045,186076,LA maintained schools,Primary,Church of England,South West,North Wiltshire,Wiltshire,Sherston,4,11,33,11,2,13,11,3,6,35.7,18.1,8.2,2,10.2,5.3,1.7,0.9,0.5,17.6,NA,NA,NA,90.4,NA,0,0,NA,0,NA,0,0,EW,34237,0,NA,NA,NA,46.2,75,12.5,5.8,0,0,0,0
8653166,383754,155094,LA maintained schools,Primary,Church of England,South West,South West Wiltshire,Wiltshire,Southwick,4,11,40,11,2,13,16,3,8,38.5,19.4,8.1,2,10.1,5.7,1.6,2,0.6,19.1,NA,0,29.6,100,NA,NA,0,0,NA,NA,NA,0,EW,36164,0,NA,NA,NA,30.8,13,3.3,1,0,0,0,0
8653170,385624,160470,LA maintained schools,Primary,Church of England,South West,Chippenham,Wiltshire,Holt and Staverton,4,11,52,13,2,15,15,9,13,33.3,27.7,10.4,2,12.4,7.3,3.9,4.1,0.6,21.4,NA,0,23.3,100,NA,NA,0,0,0,NA,NA,0,EW,32849,84.6,NA,NA,NA,40,19,3.2,1.3,0,0,0,0
8653172,413095,132444,LA maintained schools,Primary,Church of England,South West,Salisbury,Wiltshire,Salisbury St Francis and Stratford,4,11,26,5,2,7,14,5,0,NA,17.2,4.5,1.9,6.4,8.6,2.2,0,1.3,21.8,0,0,NA,100,NA,0,0,0,0,0,0,0,EW,37536,0,0,0,NA,66.7,19,3.2,2.1,0,0,0,0
8653174,390228,141761,LA maintained schools,Primary,Church of England,South West,South West Wiltshire,Wiltshire,Warminster Without,4,11,26,8,2,10,9,2,5,40,15.7,6.3,2,8.3,5.4,0.9,1.1,0.6,21.3,NA,0,NA,100,NA,0,0,NA,0,NA,0,NA,EW,37253,0,NA,0,NA,NA,NA,NA,0.6,0,0,0,0
8653186,403647,157097,LA maintained schools,Primary,Church of England,South West,Devizes,Wiltshire,Urchfont and The Cannings,4,11,17,4,2,6,6,3,2,NA,9.8,3.3,2,5.3,2.8,1.2,0.5,0.5,19.6,NA,0,NA,100,NA,0,0,0,0,NA,0,NA,EW,38206,0,0,0,NA,NA,NA,NA,NA,0,0,0,0
8653191,386916,145047,LA maintained schools,Primary,Church of England,South West,South West Wiltshire,Wiltshire,Warminster West,4,11,39,8,2,10,17,3,9,NA,18.4,7.2,2,9.2,5.3,1.5,2.4,0.6,23.7,NA,0,NA,78.3,NA,0,0,0,0,NA,NA,0,EW,37812,NA,NA,NA,NA,45.5,45,9,4.1,0,0,0,0
8653192,386394,151336,LA maintained schools,Primary,Church of England,South West,South West Wiltshire,Wiltshire,Westbury West,7,11,46,12,2,14,17,4,11,42.9,27.5,9.9,2,11.9,11.6,1.4,2.6,1,18.8,NA,0,30.3,100,NA,NA,0,0,0,0,NA,0,EW,39654,0,0,NA,NA,71.4,59.5,6,4.3,0,0,0,0
8653193,385990,150305,LA maintained schools,Primary,Church of England,South West,South West Wiltshire,Wiltshire,Westbury West,4,11,64,17,3,20,22,4,18,20,36.7,15,3,18,10.6,2.8,5.3,0.6,21.9,13.3,0,21.7,100,NA,0,0,NA,0,0,NA,NA,EW,36364,64.7,35.3,NA,NA,59.1,49.5,3.8,2.3,0,0,0,0
8653199,380247,161208,LA maintained schools,Primary,Church of England,South West,Chippenham,Wiltshire,Winsley and Westwood,4,11,29,7,2,9,12,4,4,55.6,14.1,5.6,1.8,7.4,4.7,1.6,0.4,0.6,21.6,0,NA,0,100,NA,NA,0,NA,0,0,NA,0,EW,33981,0,0,0,NA,77.8,33,4.7,3.7,0,0,0,0
8653201,417361,134238,LA maintained schools,Primary,Church of England,South West,Salisbury,Wiltshire,Bourne and Woodford Valley,4,11,27,9,2,11,10,4,2,45.5,16.2,7,2,9,5.5,1.4,0.3,0.6,21.6,NA,0,35.6,100,NA,0,0,0,NA,0,0,NA,EW,37323,NA,66.7,0,NA,NA,NA,NA,0.5,0,0,0,0
8653205,386987,144627,LA maintained schools,Primary,Church of England,South West,South West Wiltshire,Wiltshire,Warminster Broadway,4,11,24,6,2,8,8,3,5,NA,14.9,4.8,2,6.8,4.8,2.2,1.1,0.7,20.4,0,NA,41.2,100,NA,NA,0,NA,0,NA,NA,NA,EW,37833,0,0,NA,NA,66.7,29,4.8,3.2,0,0,0,0
8653220,402553,190792,LA maintained schools,Primary,Church of England,South West,North Wiltshire,Wiltshire,Minety,4,11,21,7,2,9,6,3,3,44.4,10.4,4.8,2,6.8,2.2,1.1,0.3,0.3,20.3,NA,0,70.4,100,NA,0,0,NA,0,NA,0,NA,EW,36013,0,NA,0,NA,NA,NA,NA,0.3,0,0,0,0
8653222,401537,154805,LA maintained schools,Primary,Church of England,South West,Devizes,Wiltshire,The Lavingtons and Erlestoke,2,11,20,2,2,4,7,5,4,0,9.6,2,2,4,3.4,1.9,0.3,0.8,18,NA,0,0,100,NA,0,NA,0,0,0,0,0,EW,40057,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
8653229,410991,126087,LA maintained schools,Primary,Church of England,South West,Salisbury,Wiltshire,Downton and Ebble Valley,4,11,22,5,2,7,6,3,6,NA,10.3,3.2,2,5.2,3.3,0.9,0.9,0.6,18.3,NA,0,46.2,100,NA,0,0,0,0,NA,0,NA,EW,36096,0,0,0,NA,NA,NA,NA,1.3,0,0,0,0
8653230,401353,131511,LA maintained schools,Primary,Church of England,South West,South West Wiltshire,Wiltshire,Nadder and East Knoyle,4,11,28,7,1,8,6,6,8,50,12.6,4.3,1,5.3,3.9,1.4,2,0.7,19.1,0,0,88.2,100,NA,0,0,0,0,0,NA,NA,EW,37391,57.1,NA,NA,NA,NA,NA,NA,0.4,0,0,0,0
8653239,393994,129807,LA maintained schools,Primary,Church of England,South West,South West Wiltshire,Wiltshire,Tisbury,4,11,17,4,1,5,7,1,4,NA,11.2,3.9,1,4.9,4.6,0.9,0.8,0.9,23,0,0,NA,100,NA,0,0,0,0,NA,0,0,EW,29362,100,0,NA,NA,NA,NA,NA,9.2,0,0,0,0
8653242,401334,184306,LA maintained schools,Primary,Church of England,South West,North Wiltshire,Wiltshire,Brinkworth,4,11,31,8,2,10,9,6,6,NA,18.3,6.9,2,8.9,4.7,2.8,1.9,0.5,19,NA,NA,NA,100,NA,0,0,NA,0,0,NA,NA,EW,35470,0,0,NA,NA,60,81.5,13.6,8.2,0,0,0,0
8653243,428106,165026,LA maintained schools,Primary,Church of England,South West,Devizes,Wiltshire,Burbage and the Bedwyns,4,11,31,11,2,13,9,2,7,53.8,14.5,6.8,2,8.8,3.3,1.5,0.9,0.4,24.2,0,0,28.8,100,NA,0,NA,NA,0,NA,NA,0,EW,38363,0,54.5,36.4,NA,NA,NA,NA,2.6,0,0,0,0
8653300,426306,175786,LA maintained schools,Primary,Church of England,South West,Devizes,Wiltshire,Aldbourne and Ramsbury,4,11,38,10,2,12,15,5,6,41.7,19.4,6.9,2,8.9,7.6,2,0.9,0.9,21.8,33.7,0,29.2,100,NA,0,NA,NA,0,0,NA,NA,EW,35245,NA,50,0,NA,NA,NA,NA,0.2,0,0,0,0
8653306,428284,178036,LA maintained schools,Primary,Church of England,South West,Devizes,Wiltshire,Aldbourne and Ramsbury,4,11,23,7,2,9,5,2,7,44.4,13.6,5.2,2,7.2,2.9,1.9,1.6,0.4,17.5,0,0,29.1,100,NA,0,0,0,0,NA,NA,NA,EW,37123,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0
8653308,403887,164350,LA maintained schools,Primary,Church of England,South West,Devizes,Wiltshire,Urchfont and The Cannings,4,11,35,9,2,11,16,2,6,30.8,19,8.1,2,10.1,6.9,1.2,0.8,0.7,20.3,38.5,0,NA,91.6,NA,NA,0,0,0,NA,NA,0,EW,38121,0,0,NA,NA,38.5,13,2.6,1,0,0,0,0
8653316,382537,147844,LA maintained schools,Primary,Church of England,South West,South West Wiltshire,Wiltshire,Warminster Without,4,11,20,8,1,9,5,1,5,55.6,10.8,4.6,1,5.6,2.9,1,1.3,0.5,21.1,NA,0,NA,100,NA,0,NA,0,0,NA,NA,0,EW,34086,NA,50,NA,NA,36.4,11,2.8,1,0,0,0,0
8653318,432161,170776,LA maintained schools,Primary,Church of England,South West,Devizes,Wiltshire,Aldbourne and Ramsbury,4,11,14,4,1,5,3,2,4,NA,8.3,3.9,1,4.9,1.6,0.3,1.5,0.3,17.6,0,0,NA,100,NA,0,NA,NA,0,NA,0,0,EW,39293,0,NA,NA,NA,NA,NA,NA,2.2,0,0,0,0
8653330,396179,170859,LA maintained schools,Primary,Church of England,South West,North Wiltshire,Wiltshire,Calne Rural,5,11,50,6,3,9,22,7,12,NA,20.5,5.8,2.6,8.4,6.9,2.8,2.4,0.8,24.8,0,NA,0,100,NA,0,0,NA,NA,0,NA,0,EW,35782,66.7,NA,0,NA,60,16.5,2.8,1.6,0,0,0,0
8653355,419247,136829,LA maintained schools,Primary,Church of England,South West,Salisbury,Wiltshire,Bourne and Woodford Valley,5,11,21,6,1,7,7,1,6,NA,11.5,5.2,1,6.2,3.8,0.6,0.9,0.6,19,0,0,NA,100,NA,0,NA,0,0,NA,NA,0,EW,34760,0,0,NA,NA,87.5,42,6,5.3,0,0,0,0
8653362,416061,131021,LA maintained schools,Primary,Church of England,South West,Salisbury,Wiltshire,"Laverstock, Ford and Old Sarum",4,11,33,11,2,13,8,3,9,38.5,17.8,7.2,2,9.2,4.8,2.1,1.7,0.5,22.3,NA,0,31.3,67.4,100,0,0,0,0,NA,0,0,EW,34770,0,0,0,NA,28.6,21,5.3,1.5,0,0,0,0
8653372,425122,117657,LA maintained schools,Primary,Church of England,South West,Salisbury,Wiltshire,Redlynch and Landford,5,11,36,10,2,12,12,3,9,50,17.5,6.8,2,8.8,4.7,1.6,2.4,0.5,19.9,NA,0,NA,88.6,NA,0,NA,0,0,NA,0,0,EW,36116,0,NA,NA,NA,61.5,175,21.9,13.5,0,0,0,0
8653381,412434,156139,LA maintained schools,Primary,Church of England,South West,Devizes,Wiltshire,Pewsey Vale,5,11,20,5,2,7,8,2,3,NA,11.9,4,2,6,4.6,0.9,0.4,0.8,20.7,NA,0,50,100,NA,0,NA,0,0,NA,0,NA,EW,38259,80,NA,0,NA,NA,NA,NA,2.3,0,0,0,0
8653383,413569,130871,LA maintained schools,Primary,Church of England,South West,Salisbury,Wiltshire,Salisbury St Paul's,4,11,41,10,2,12,11,5,13,41.7,22.2,7.7,1.8,9.5,7.4,2.3,3,0.8,22.8,0,0,31.7,100,NA,0,NA,0,0,0,NA,NA,EW,36942,0,0,NA,NA,35.7,21.5,4.3,1.5,0,0,0,0
8653387,415270,129827,LA maintained schools,Primary,Church of England,South West,Salisbury,Wiltshire,Salisbury St Martin's and Cathedral,4,11,34,12,2,14,11,4,5,42.9,20.2,9.4,2,11.4,6,1.7,1.1,0.5,15.5,0,0,33.3,100,NA,NA,NA,NA,NA,0,0,NA,EW,34019,NA,NA,NA,NA,NA,NA,NA,0.2,0,0,0,0
