LAEstab,Easting,Northing,School_Type,School_Phase,Religious_Character,Government_Office_Region_Name,Parliamentary_Constituency,LA_District,Ward,StatutoryLowAge.y,StatutoryHighAge.y,Tot_Workforce_HC,Tot_Classroom_Teachers_HC,Tot_Teachers_Leadership_HC,Tot_Teachers_HC,Tot_TAs_HC,Tot_NonClassroom_Support_Staff_Exc_Aux_Staff_HC,Tot_Auxiliary_Staff_HC,Perc_PT_Teaching_Staff_,Tot_Workforce_FTE,Tot_Classroom_Teachers_FTE,Tot_Teachers_Leadership_FTE,Tot_Teachers_FTE,Tot_TAs_FTE,Tot_NonClassroom_Support_Staff_Exc_Aux_Staff_FTE,Tot_Aux_Staff_FTE,TA_Teacher_Ratio,Pupil_Teacher_Ratio,Perc_Male_Teachers,Perc_Minority_Ethnic_Teachers,Perc_Over_Age_50_Teachers,Perc_QTS_Teachers,Perc_of_Unqual_Teachers_who_Unqual_on_QTS_Route,Perc_Male_TAs,Perc_Minority_Ethnic_TAs,Perc_HLTA_TAs,Perc_Male_Non_Classroom_Support_Staff,Perc_Minority_Ethnic_Non_Classroom_Support_Staff,Perc_Male_Aux_Staff,Perc_Minority_Ethnic_Aux_Staff,Regional_Pay_Spine,Mean_Gross_Salary_All_Teachers_Sterling,Perc_Main_Pay_Range_Classroom_Teachers,Perc_Upper_Pay_Range_Leading_Practioners_Pay_Range_Classroom_Teachers,Perc_Receive_Allowance_Qual_Classroom_Teachers,Perc_Leadership_Pay_Range_Teachers,Perc_At_Least_One_Sickness_Absence_Teachers,Tot_Days_Sickness_Absence,Mean_Days_Lost_Teacher_Sickness_Absence_Of_Those_Taking_Sickness_Absence,Mean_Days_Lost_Teacher_Sickness_Absence_All_Teachers,FT_Vacant_Posts,Perc_FT_Posts_Vacant,FT_Temp_Filled_Posts,Perc_FT_Temp_Filled_Posts
8652024,401084,162175,Academies,Primary,Church of England,South West,Devizes,Wiltshire,Roundway,4,11,35,9,2,11,9,5,10,NA,21.5,7.5,2,9.5,6.2,2.6,3.2,0.6,19.4,NA,0,0,100,NA,0,NA,NA,NA,0,NA,0,EW,32687,88.9,NA,NA,NA,88.9,55.5,6.9,6.2,0,0,0,0
8652025,400144,171805,Academies,Primary,Church of England,South West,North Wiltshire,Wiltshire,Calne North,4,11,83,20,2,22,32,6,23,40.9,45.2,17,1.8,18.8,16,4.3,6.1,0.9,14.1,NA,NA,27.3,94.7,NA,NA,NA,0,NA,NA,NA,NA,EW,35377,50,50,30,NA,NA,NA,NA,NA,1,7.7,1,7.7
8653457,396592,182728,Academies,Primary,Church of England,South West,North Wiltshire,Wiltshire,Brinkworth,4,11,14,3,2,5,4,3,2,80,6.5,1.6,1.3,2.9,1.8,1.4,0.4,0.6,17.7,0,0,NA,100,NA,0,0,NA,0,NA,0,NA,EW,38696,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
8653110,409059,185889,Academies,Primary,Church of England,South West,North Wiltshire,Wiltshire,Royal Wootton Bassett East,4,11,39,11,2,13,9,4,13,46.2,17.3,7.7,2,9.7,4.3,1.7,1.6,0.4,21.1,NA,0,NA,100,NA,0,0,0,0,0,NA,NA,EW,36350,54.5,45.5,NA,NA,NA,NA,NA,NA,0,0,0,0
8655408,408962,187413,Academies,Secondary,None,South West,North Wiltshire,Wiltshire,Purton,11,16,106,52,6,58,16,29,3,25.9,84.1,46.2,6,52.2,11.1,19.5,1.3,0.2,17.5,34.5,NA,19.2,98.9,NA,0,0,21.7,16.7,NA,NA,NA,EW,41284,26.9,73.1,73.1,10.3,NA,NA,NA,NA,0,0,0,0
8653159,394554,180648,Academies,Primary,Church of England,South West,North Wiltshire,Wiltshire,Kington,5,11,13,2,2,4,2,1,6,NA,5.7,1.3,1.3,2.6,1.6,0.5,1,0.6,10,0,0,NA,100,NA,0,NA,NA,0,NA,0,0,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
8652026,411343,186989,Academies,Primary,Church of England,South West,North Wiltshire,Wiltshire,Purton,4,11,11,4,1,5,4,2,0,NA,8.7,3.3,0.3,3.6,3.1,2,0,0.8,26.2,NA,0,0,100,NA,0,0,NA,0,NA,0,0,EW,30742,NA,0,NA,NA,0,0,0,0,0,0,0,0
8652027,418931,168740,LA maintained schools,Primary,,South West,Devizes,Wiltshire,Marlborough West,5,11,87,22,2,24,32,13,18,45.8,43.9,16.7,2,18.7,15.3,5.2,4.7,0.8,18,NA,0,21.9,100,NA,NA,0,NA,NA,0,NA,0,EW,34159,50,50,18.2,NA,0,0,0,0,0,0,0,0
8653061,416084,144753,Academies,Primary,Church of England,South West,Devizes,Wiltshire,Durrington and Larkhill,5,7,44,10,1,11,13,5,15,45.5,17,7.5,1,8.5,5.4,1.4,1.7,0.6,17.4,0,0,NA,100,NA,0,0,0,0,0,0,0,EW,35700,80,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
8654071,416123,144625,Academies,Secondary,None,South West,Devizes,Wiltshire,Durrington and Larkhill,11,18,63,34,5,39,13,7,4,NA,57.7,33.4,5,38.4,11,5.6,2.7,0.3,14.3,41.7,10.3,23.4,92.2,0,0,NA,0,NA,0,89.8,NA,EW,39077,0,0,44.1,12.8,NA,NA,NA,NA,0,0,0,0
